intercept,daily,monthly,weekly
-0.6226276,-0.6124534,-0.14270622,0.9274152
-0.7407044,-0.5588747,-0.08762505,0.7993947
-0.72820014,-0.33440152,-0.14719091,0.719314
-0.7432928,-0.4085861,-0.10244115,0.74591506
-0.4813072,-0.39955813,-0.07986639,0.74408925
-0.4454947,-0.23251596,-0.072899476,0.687393
-0.50451183,-0.48075572,-0.0052626682,0.8135799
-0.47058678,-0.34314042,-0.043835945,0.7112349
-0.3539711,-0.4275732,0.029723037,0.75230443
-0.2129991,-0.33674267,-0.015503591,0.7701024
-0.31734356,-0.3263439,-0.1341071,0.8102274
-0.37346315,-0.4194801,0.18884635,0.6054188
-0.28816476,-0.3637182,-0.03146347,0.7418687
-0.45462728,-0.4225464,0.100512244,0.6988107
-0.4013334,-0.4150586,0.0021000758,0.70046294
-0.5403541,-0.5791268,0.12980036,0.75135386
-0.18915851,-0.35177714,-0.13331375,0.6854167
-0.45601502,-0.40110216,0.11733551,0.6670148
-0.443467,-0.37823105,-0.032149673,0.751441
-0.45432204,-0.39460787,0.1590265,0.64925146
-0.46455365,-0.4310554,-0.087546684,0.7774395
-0.16020107,-0.36571527,0.02771473,0.6451122
-0.45443812,-0.3672713,0.025865544,0.70774424
-0.4793448,-0.17593768,-0.08286256,0.6141714
-0.5301855,-0.27208352,-0.0095422175,0.66253984
-0.51810014,-0.33756903,0.046319574,0.6084918
-0.41172105,-0.27014115,0.02473644,0.58696735
-0.54403037,-0.25832823,0.058853082,0.5776429
-0.29155588,-0.3007327,-0.13411114,0.74825084
-0.41974038,-0.33167553,0.048203148,0.66215396
-0.5301771,-0.29524624,0.05387356,0.5912932
-0.26514325,-0.36145383,0.023245882,0.6877532
-0.49194178,-0.2569627,0.06457825,0.62455064
-0.40976804,-0.34769624,0.044843063,0.6710769
-0.41350192,-0.1898384,0.03258466,0.5207763
-0.4672811,-0.27283445,0.019675313,0.6293322
-0.30431458,-0.2822458,-0.07225902,0.68554705
-0.60938567,-0.42968303,0.26930052,0.48802567
-0.2822254,-0.3408112,-0.04043343,0.71522033
-0.4447755,-0.29232132,0.15818697,0.5337488
-0.37350732,-0.35475254,0.0019974723,0.6912014
-0.6293644,-0.31274012,-0.2383093,0.79320896
-0.44834572,-0.23195016,-0.07126697,0.5967512
-0.53963673,-0.34039325,0.018246748,0.6295878
-0.66048527,-0.24583054,-0.004039265,0.4876774
-0.41648498,-0.35012698,-0.11220846,0.76525706
-0.61185324,-0.2060928,0.109332636,0.46795303
-0.43926,-0.21963196,-0.07380961,0.6566057
-0.61316174,-0.19878694,0.06731026,0.5418101
-0.5339799,-0.23829877,-0.13314845,0.69313705
-0.50534916,-0.25455984,-0.18204328,0.7220166
-0.5827562,-0.391139,-0.08045753,0.6960796
-0.47586164,-0.27729338,-0.03669472,0.594034
-0.912975,-0.23242798,-0.026417524,0.48086324
-0.9995426,-0.054224066,-0.12534949,0.41528416
-0.72466695,-0.32369378,-0.046649396,0.6147254
-0.86396444,-0.18509822,-0.082871035,0.41794747
-0.52419794,-0.37519258,0.02569681,0.63187236
-0.7347323,-0.19827622,0.15964082,0.41841465
-0.53518295,-0.24735765,-0.034769725,0.62290955
-0.1981759,-0.23357686,-0.062280823,0.6451932
-0.46279964,-0.34987998,0.13787031,0.5966152
-0.3572929,-0.27909535,0.028824419,0.5587548
-0.12560368,-0.26900727,-0.05027614,0.6144076
-0.44702005,-0.31561774,0.12510426,0.53343564
-0.42693916,-0.31220514,0.123831175,0.5007113
-0.30251092,-0.35271496,0.0008437306,0.6375349
-0.3445949,-0.41047224,0.15053877,0.55894595
-0.39221093,-0.18558636,-0.0057920516,0.53300536
-0.28452575,-0.36625615,-0.06555745,0.7000139
-0.32990122,-0.32212332,0.18201764,0.47094664
-0.30830368,-0.32174242,-0.09742773,0.63064253
