observed,target
0.0,0.01
0.0,0.02
0.0,0.03
0.0,0.04
0.0,0.05
0.0,0.06
0.0,0.07
0.0,0.08
0.0,0.09
0.0,0.1
0.0,0.11
0.0,0.12
0.0,0.13
0.0,0.14
0.0,0.15
0.0,0.16
0.0,0.17
0.0,0.18
0.0,0.19
0.0,0.2
0.0,0.21
0.0,0.22
0.0,0.23
0.0,0.24
0.0,0.25
0.0,0.26
0.0,0.27
0.0,0.28
0.0,0.29
0.0,0.3
0.0,0.31
0.0,0.32
0.0,0.33
0.0,0.34
0.0,0.35
0.0,0.36
0.0,0.37
0.0,0.38
0.001326259946949602,0.39
0.002652519893899204,0.4
0.011936339522546418,0.41
0.025198938992042442,0.42
0.046419098143236075,0.43
0.07029177718832891,0.44
0.11007957559681697,0.45
0.16312997347480107,0.46
0.23209549071618038,0.47
0.33421750663129973,0.48
0.4244031830238727,0.49
0.5344827586206896,0.5
0.6153846153846154,0.51
0.6710875331564987,0.52
0.7519893899204244,0.53
0.8090185676392573,0.54
0.863395225464191,0.55
0.9005305039787799,0.56
0.9283819628647215,0.57
0.9535809018567639,0.58
0.9708222811671088,0.59
0.9774535809018567,0.6
0.9814323607427056,0.61
0.9893899204244032,0.62
0.9946949602122016,0.63
0.9973474801061007,0.64
0.9986737400530504,0.65
1.0,0.66
1.0,0.67
1.0,0.68
1.0,0.69
1.0,0.7
1.0,0.71
1.0,0.72
1.0,0.73
1.0,0.74
1.0,0.75
1.0,0.76
1.0,0.77
1.0,0.78
1.0,0.79
1.0,0.8
1.0,0.81
1.0,0.82
1.0,0.83
1.0,0.84
1.0,0.85
1.0,0.86
1.0,0.87
1.0,0.88
1.0,0.89
1.0,0.9
1.0,0.91
1.0,0.92
1.0,0.93
1.0,0.94
1.0,0.95
1.0,0.96
1.0,0.97
1.0,0.98
1.0,0.99
1.0,1.0
