intercept,daily,monthly,weekly
-0.69344825,0.44237107,0.19957344,0.28448617
-0.7948795,0.258893,0.27306375,0.3843139
-0.7674444,0.30176696,0.23849598,0.39002293
-0.71860033,0.40787703,0.2175208,0.30338806
-0.7572676,0.37434486,0.25381452,0.3059937
-0.8307699,0.2806382,0.31331673,0.3423174
-0.7944282,0.28845245,0.26403314,0.3826887
-0.79382193,0.29520354,0.26377505,0.37575325
-0.8733603,0.17734769,0.3264243,0.43127656
-0.87347394,0.17189977,0.32046974,0.44504914
-0.8439045,0.22927442,0.30238348,0.40789
-0.8456483,0.1957637,0.29317704,0.4461946
-0.872633,0.17175154,0.31799856,0.4488144
-0.8454701,0.19566593,0.29391003,0.44598883
-0.81941795,0.2678613,0.28387964,0.38628703
-0.7824224,0.27245072,0.23739696,0.42498738
-0.8105153,0.27751857,0.27887732,0.37904024
-0.84561557,0.22838005,0.30743814,0.40208927
-0.82904196,0.2732103,0.29917774,0.36671615
-0.7966935,0.2891155,0.26341325,0.3843431
-0.71836805,0.41729695,0.2116141,0.30650777
-0.8022091,0.3186727,0.28801256,0.32747954
-0.770944,0.33504322,0.25314158,0.34616098
-0.78112656,0.41438785,0.29975644,0.22303645
-0.7758398,0.3699339,0.27305266,0.29299942
-0.72756416,0.40068048,0.22781363,0.30197245
-0.77385205,0.37783074,0.2825503,0.2717238
-0.7711611,0.36643305,0.27032864,0.29728842
-0.7537881,0.43010458,0.2676112,0.2392101
-0.7024387,0.5016579,0.2283186,0.20496826
-0.74522054,0.41251343,0.25581476,0.2629176
-0.80532455,0.3364536,0.30365112,0.29404783
-0.8249612,0.31839368,0.32164973,0.29525355
-0.73776597,0.4061163,0.24252725,0.28337055
-0.7676798,0.40262908,0.28393716,0.24581476
-0.7559135,0.42683357,0.27123624,0.23688622
-0.76810193,0.40363225,0.27843925,0.25345835
-0.7623137,0.39228815,0.27143204,0.26650384
-0.67592037,0.51217,0.19898996,0.22135028
-0.7178419,0.48585328,0.2446405,0.20225497
-0.6888617,0.52582103,0.2227457,0.18489616
-0.60694015,0.6086546,0.14734636,0.17674616
-0.6564814,0.5816916,0.20493254,0.1458385
-0.68133056,0.5111264,0.20914058,0.21299753
-0.6802274,0.5044085,0.21002261,0.21440765
-0.64454746,0.58677644,0.18984953,0.15446098
-0.73394024,0.47421986,0.2663554,0.19268906
-0.72234243,0.47017652,0.24555266,0.21877857
-0.79664373,0.37900695,0.31228855,0.24279118
-0.8197788,0.32905674,0.32743436,0.2800406
-0.63566035,0.5603785,0.16786748,0.20419538
-0.6100819,0.6046953,0.14958088,0.17667893
-0.72504365,0.45158523,0.24515767,0.2358448
-0.695992,0.44005498,0.21426487,0.26634398
-0.7742992,0.3308677,0.29180712,0.29595715
-0.77189934,0.31311363,0.25531012,0.3619393
-0.7206246,0.4211033,0.23724231,0.2684487
-0.7415792,0.41320243,0.250278,0.26979452
-0.8295975,0.29209054,0.32707363,0.31459603
-0.7936341,0.38020197,0.3079504,0.25017697
-0.78082275,0.40206146,0.29555017,0.24069071
-0.7735955,0.39237392,0.28382164,0.2611469
-0.70037526,0.46073714,0.21141501,0.26252303
-0.790177,0.40151453,0.3048645,0.23325467
-0.7063823,0.47988552,0.22635761,0.23070589
-0.7355771,0.43732554,0.24975805,0.2489183
-0.77292216,0.40866452,0.2880655,0.24056318
-0.75059974,0.43441764,0.26854798,0.23359804
-0.7734865,0.42805034,0.2998355,0.20927231
-0.67975,0.5252247,0.20944312,0.20239887
