intercept,daily,monthly,weekly
-0.27233782,0.23479465,0.11001028,0.64047563
-0.27238727,0.23484406,0.11001847,0.6404664
-0.27236992,0.23476946,0.11002059,0.6404561
-0.2722903,0.23475125,0.11000124,0.6404859
-0.27222303,0.23468931,0.10998817,0.6405004
-0.27213287,0.23462322,0.109971106,0.6405233
-0.27205667,0.23459835,0.10995288,0.64055014
-0.27201512,0.23457077,0.10994482,0.6405613
-0.2719633,0.2345423,0.1099339,0.6405767
-0.2719006,0.23450258,0.10992185,0.6405938
-0.27189198,0.23450129,0.10991957,0.64059746
-0.27188572,0.23450251,0.10991728,0.6406007
-0.27184218,0.23447292,0.10990956,0.64061195
-0.27188945,0.23450391,0.10991802,0.64059937
-0.27189675,0.23449871,0.10992099,0.6405947
-0.27196366,0.23454504,0.109933436,0.64057684
-0.2719684,0.23453829,0.109935686,0.64057314
-0.271952,0.23451772,0.10993413,0.640575
-0.27193266,0.2345039,0.10993061,0.64057964
-0.27196127,0.23452123,0.10993618,0.6405717
-0.27203798,0.23456354,0.10995152,0.64054865
-0.27204806,0.23455325,0.10995598,0.6405416
-0.27208585,0.23456743,0.10996475,0.6405285
-0.27211827,0.23456697,0.10997386,0.640514
-0.27214092,0.23457631,0.10997893,0.6405064
-0.27218455,0.23461047,0.1099868,0.6404959
-0.27218804,0.23459843,0.10998921,0.6404912
-0.27218565,0.23459366,0.10998911,0.6404911
-0.2721969,0.23459522,0.10999198,0.6404865
-0.2722046,0.2345976,0.10999385,0.64048374
-0.27221113,0.23460989,0.10999415,0.64048404
-0.27219757,0.23459451,0.109992206,0.64048606
-0.27218756,0.23458597,0.1099905,0.64048827
-0.27220568,0.23459919,0.109993875,0.6404837
-0.27220607,0.23459847,0.1099941,0.64048326
-0.2721937,0.23458883,0.10999179,0.6404863
-0.272196,0.23458989,0.10999229,0.6404855
-0.27222177,0.23460503,0.109997585,0.64047813
-0.27222687,0.23460531,0.10999896,0.6404759
-0.2722216,0.23459962,0.10999818,0.64047676
-0.27223167,0.2346075,0.110000014,0.6404743
-0.27225655,0.2346317,0.11000423,0.6404697
-0.27225462,0.23461728,0.11000528,0.6404667
-0.27225953,0.23461998,0.11000633,0.64046526
-0.27227813,0.23463634,0.11000973,0.6404613
-0.27228397,0.23464079,0.110010885,0.64045984
-0.272259,0.2346181,0.11000639,0.64046496
-0.2722639,0.2346178,0.110007726,0.64046276
-0.2722591,0.23461351,0.110006884,0.6404638
-0.272251,0.23461194,0.11000482,0.640467
-0.27225536,0.23462622,0.110004425,0.64046884
-0.27226716,0.23463711,0.11000661,0.64046633
-0.27226517,0.23462276,0.11000756,0.64046353
-0.27229396,0.23465793,0.11001201,0.64045995
-0.27230355,0.23465864,0.1100145,0.64045584
-0.27229324,0.2346439,0.11001309,0.64045656
-0.27228618,0.23464529,0.11001108,0.64045995
-0.27227625,0.23463011,0.11000987,0.6404605
-0.27224866,0.2346168,0.110003754,0.6404692
-0.27222666,0.23460567,0.10999894,0.64047605
-0.2722091,0.23459499,0.10999535,0.6404811
-0.27219516,0.2345907,0.10999197,0.6404862
-0.27219445,0.23459168,0.10999165,0.6404867
-0.27218467,0.23458211,0.109990105,0.6404885
-0.27218205,0.23458114,0.10998949,0.64048946
-0.2722003,0.23459455,0.10999288,0.6404848
-0.27219218,0.23458502,0.109991804,0.640486
-0.27219865,0.2345885,0.109993145,0.64048404
-0.27220163,0.2345893,0.10999386,0.6404829
-0.27219424,0.23458369,0.10999253,0.6404847
-0.27219206,0.23458442,0.10999179,0.640486
-0.27220443,0.23459283,0.10999417,0.64048266
-0.27220482,0.23458962,0.10999469,0.64048165
-0.2722223,0.23459855,0.10999839,0.6404762
-0.27221298,0.23458949,0.10999694,0.640478
-0.2722465,0.23460849,0.11000387,0.6404681
-0.2722754,0.23463054,0.11000941,0.6404611
-0.27227244,0.23461647,0.1100101,0.6404587
-0.27231938,0.23466893,0.11001785,0.6404518
-0.27232698,0.23465446,0.11002119,0.6404444
-0.27234957,0.23468256,0.110024765,0.6404418
-0.27235556,0.23468828,0.11002582,0.6404406
-0.27236634,0.23469365,0.11002834,0.6404371
-0.27233982,0.23466575,0.110023536,0.64044154
-0.27233487,0.23466332,0.110022426,0.6404431
-0.27229923,0.23464017,0.11001505,0.64045286
-0.27227682,0.23464064,0.110009,0.64046293
-0.27225137,0.23462765,0.11000339,0.6404708
-0.2722247,0.23460439,0.10999857,0.6404766
-0.2722126,0.2346003,0.10999572,0.6404809
-0.27223217,0.23462531,0.109998345,0.6404786
-0.27220905,0.23460332,0.10999441,0.6404832
-0.27219975,0.23460014,0.10999224,0.64048654
-0.27222508,0.23462713,0.109996185,0.6404823
-0.27222243,0.2346181,0.10999656,0.6404811
-0.27223378,0.23463981,0.10999726,0.6404817
-0.2722226,0.23461752,0.10999656,0.6404809
-0.2722216,0.23461659,0.10999645,0.6404811
-0.27220926,0.23460953,0.10999384,0.6404847
-0.27220145,0.23460543,0.109992124,0.64048713
