intercept,daily,monthly,weekly
-0.56408566,0.44900617,0.40016907,0.09168501
-0.5445339,0.46401316,0.40281352,0.073282875
-0.546774,0.46566767,0.4190611,0.069487356
-0.56174403,0.45927715,0.4082467,0.07986105
-0.59895784,0.43781224,0.40818578,0.1061568
-0.6525346,0.39837566,0.4037281,0.15339054
-0.7140846,0.36166167,0.3822619,0.20205739
-0.7626544,0.32669538,0.37345982,0.24493489
-0.8124584,0.2975497,0.36237323,0.2824965
-0.8546666,0.27158734,0.35929468,0.3141958
-0.87626314,0.25752205,0.35112184,0.332506
-0.8934118,0.2508839,0.3430678,0.34279627
-0.9074925,0.24314988,0.34732574,0.35134593
-0.9100491,0.24170408,0.33530796,0.35566598
-0.9075731,0.23920171,0.33999395,0.3570692
-0.8936204,0.24018943,0.3297224,0.3566791
-0.8889486,0.24212925,0.33511835,0.35320437
-0.88750374,0.24025568,0.34523538,0.3528175
-0.89523524,0.23781657,0.3478641,0.35550588
-0.89444333,0.23781994,0.34053478,0.35705107
-0.88470155,0.24116668,0.32808203,0.35559532
-0.8788086,0.24283259,0.3355618,0.35212612
-0.8665379,0.24449238,0.33552346,0.3493598
-0.8527109,0.2439332,0.3477998,0.34611607
-0.84796685,0.24615279,0.34424835,0.34427753
-0.8318559,0.25606254,0.32604975,0.33653837
-0.81837237,0.2629023,0.33913964,0.32557103
-0.815756,0.26609352,0.34288254,0.32129067
-0.80803263,0.26760784,0.34738034,0.3179635
-0.8015,0.26985574,0.34845948,0.31475657
-0.79796386,0.27843156,0.33420572,0.30873987
-0.8003728,0.27760023,0.34608746,0.3073256
-0.80960274,0.2709756,0.35164866,0.3138572
-0.8060974,0.2724607,0.33995622,0.31447795
-0.80132484,0.2742475,0.34280103,0.31148607
-0.8154279,0.27076766,0.34502506,0.31618786
-0.8200985,0.26704803,0.3421107,0.32110304
-0.8036717,0.27126083,0.33631152,0.31630674
-0.7942484,0.27678663,0.33984375,0.30898288
-0.79427844,0.27740455,0.34559757,0.30714643
-0.785039,0.28230205,0.34142095,0.3019364
-0.7461158,0.30141106,0.33760548,0.2787001
-0.7279469,0.31262338,0.35629642,0.26164037
-0.7118292,0.32352167,0.35851482,0.24829313
-0.67467606,0.34630197,0.3578872,0.2209239
-0.64002186,0.37127414,0.36688018,0.18962067
-0.64607435,0.3733817,0.38126215,0.18531176
-0.6448983,0.3716598,0.38360077,0.18650366
-0.65320694,0.3657329,0.38568327,0.19301908
-0.6714188,0.35955462,0.37390286,0.20378809
-0.6662134,0.36691445,0.3583269,0.19872946
-0.6346614,0.3827418,0.36399838,0.17769568
-0.6259291,0.38725892,0.381887,0.16868785
-0.57789946,0.41535607,0.37559476,0.13542935
-0.53985757,0.44326043,0.3912055,0.0994976
-0.52532864,0.45725322,0.40557814,0.08085652
-0.5144819,0.46774918,0.40423656,0.069125295
-0.51822335,0.46528777,0.41847458,0.06921196
-0.5497736,0.44955048,0.4114285,0.09020079
-0.5956422,0.42242655,0.4007453,0.12515317
-0.6484507,0.38607287,0.39330432,0.16962437
-0.70815176,0.35201555,0.37288916,0.21516176
-0.7434907,0.3263505,0.36169422,0.24749085
-0.7800289,0.29962444,0.36242834,0.27876115
-0.8095212,0.2809654,0.35368118,0.30280724
-0.8104042,0.27597108,0.34288496,0.30999595
-0.8206843,0.26792717,0.35057548,0.31789204
-0.8292424,0.263227,0.3444577,0.32489234
-0.83048046,0.25993747,0.3450584,0.3281753
-0.8364404,0.25474805,0.3500867,0.33310038
-0.85104436,0.25258765,0.3410509,0.3387167
-0.8434683,0.25319782,0.3369001,0.33791512
-0.8407316,0.25281444,0.34248972,0.33699715
-0.830972,0.25552052,0.33958155,0.33370513
-0.83012354,0.25293183,0.35251528,0.33376196
