network,rmse,nu,VaR_1_0,VaR_10_0,VaR_0_1,VaR_5_0
1,0.01420679390509032,3.0,0.021828103683492497,0.11869031377899045,0.002728512960436562,0.07776261937244201
2,0.01422855444441723,5.0,0.019099590723055934,0.09004092769440655,0.004092769440654843,0.054570259208731244
3,0.01420115285491411,5.0,0.03547066848567531,0.11732605729877217,0.0068212824010914054,0.08185538881309687
4,0.014228460276095567,5.0,0.03137789904502047,0.10368349249658936,0.004092769440654843,0.07639836289222374
1,0.014202232777964199,6.0,0.034106412005457026,0.11596180081855388,0.0068212824010914054,0.08185538881309687
2,0.014281224986573072,6.0,0.02455661664392906,0.09549795361527967,0.004092769440654843,0.058663028649386086
3,0.014207021089744004,6.0,0.03547066848567531,0.10914051841746249,0.0068212824010914054,0.08185538881309687
4,0.014209084295443281,6.0,0.034106412005457026,0.10641200545702592,0.008185538881309686,0.07639836289222374
1,0.014212061434411765,7.0,0.03956343792633015,0.12141882673942701,0.009549795361527967,0.08321964529331514
2,0.014240442776125663,7.0,0.023192360163710776,0.09686221009549795,0.0068212824010914054,0.058663028649386086
3,0.014214818282922585,7.0,0.03819918144611187,0.11869031377899045,0.01227830832196453,0.08321964529331514
2,0.01422248668555151,3.0,0.008185538881309686,0.06548431105047749,0.001364256480218281,0.040927694406548434
4,0.01420160160120528,7.0,0.036834924965893585,0.1077762619372442,0.009549795361527967,0.0791268758526603
1,0.014210549854808251,8.0,0.036834924965893585,0.10641200545702592,0.01227830832196453,0.07776261937244201
2,0.014275580945447806,8.0,0.019099590723055934,0.0791268758526603,0.005457025920873124,0.0504774897680764
3,0.014215893059140734,8.0,0.036834924965893585,0.1009549795361528,0.010914051841746248,0.07776261937244201
4,0.01424925156805385,8.0,0.034106412005457026,0.09959072305593451,0.010914051841746248,0.07094133697135062
1,0.014206942985639416,9.0,0.04229195088676671,0.11186903137789904,0.01227830832196453,0.08185538881309687
2,0.014207009739181754,9.0,0.02455661664392906,0.09140518417462483,0.008185538881309686,0.054570259208731244
3,0.014212158365726472,9.0,0.036834924965893585,0.10231923601637108,0.01227830832196453,0.07776261937244201
4,0.01420047633894198,9.0,0.03819918144611187,0.10641200545702592,0.010914051841746248,0.07776261937244201
1,0.01425683844478955,10.0,0.034106412005457026,0.09822646657571624,0.010914051841746248,0.07094133697135062
3,0.014206945470609047,3.0,0.021828103683492497,0.12141882673942701,0.002728512960436562,0.08185538881309687
2,0.014361807397152506,10.0,0.020463847203274217,0.08185538881309687,0.005457025920873124,0.0504774897680764
3,0.014224080006538275,10.0,0.040927694406548434,0.12005457025920874,0.013642564802182811,0.08458390177353342
4,0.014205959372566256,10.0,0.03819918144611187,0.10914051841746249,0.013642564802182811,0.08185538881309687
1,0.014206228379868662,20.0,0.03956343792633015,0.09959072305593451,0.013642564802182811,0.07503410641200546
2,0.014240317629066248,20.0,0.02455661664392906,0.08594815825375171,0.008185538881309686,0.05184174624829468
3,0.014271765197544806,20.0,0.04365620736698499,0.11596180081855388,0.01637107776261937,0.08458390177353342
4,0.014209417379789655,20.0,0.036834924965893585,0.09686221009549795,0.01227830832196453,0.06821282401091405
1,0.014212391548255371,30.0,0.036834924965893585,0.09549795361527967,0.01227830832196453,0.06684856753069578
2,0.01419880240293189,30.0,0.02455661664392906,0.08185538881309687,0.008185538881309686,0.05184174624829468
3,0.014206850659218955,30.0,0.036834924965893585,0.09549795361527967,0.013642564802182811,0.06684856753069578
4,0.014225090023273641,3.0,0.017735334242837655,0.10368349249658936,0.001364256480218281,0.06821282401091405
4,0.014202561955310085,30.0,0.036834924965893585,0.09959072305593451,0.013642564802182811,0.07094133697135062
1,0.014235172727308086,4.0,0.027285129604365622,0.10504774897680765,0.004092769440654843,0.07639836289222374
2,0.014258991289567678,4.0,0.013642564802182811,0.08731241473396999,0.002728512960436562,0.05184174624829468
3,0.014202995979288318,4.0,0.030013642564802184,0.12141882673942701,0.004092769440654843,0.08185538881309687
4,0.014343478324190412,4.0,0.023192360163710776,0.09822646657571624,0.002728512960436562,0.06412005457025921
1,0.014205414387305108,5.0,0.036834924965893585,0.12141882673942701,0.005457025920873124,0.08321964529331514
