config,network,rmse,mape,rhat_sigma,VaR_1_0,VaR_10_0,VaR_0_1,VaR_5_0,nu
1,1,0.014131659282713484,0.9576676695436851,1.2518922,0.021828103683492497,0.12824010914051842,0.002728512960436562,0.08458390177353342,3.0
10,2,0.014141844473794013,1.0009797361318107,1.1439776,0.020463847203274217,0.12141882673942701,0.001364256480218281,0.08049113233287858,3.0
100,4,0.014107569358595876,0.9643867302180623,1.2410074,0.03137789904502047,0.12551159618008187,0.004092769440654843,0.08458390177353342,4.0
101,1,0.014123721758308602,0.9533531602164892,1.0057768,0.03547066848567531,0.1296043656207367,0.002728512960436562,0.08321964529331514,4.0
102,2,0.014321356533749477,0.9648117069252613,1.6837037,0.010914051841746248,0.08594815825375171,0.002728512960436562,0.047748976807639835,4.0
103,3,0.014203575816918217,1.0095403740850128,1.0548536,0.03137789904502047,0.12414733969986358,0.004092769440654843,0.08458390177353342,4.0
104,4,0.014117849300306226,0.9700092714024592,1.0763102,0.03547066848567531,0.12687585266030013,0.004092769440654843,0.08594815825375171,4.0
105,1,0.01414712056062009,0.9498520517660866,1.0159549,0.03547066848567531,0.12141882673942701,0.005457025920873124,0.08458390177353342,4.0
106,2,0.014390103709338273,0.9862359432638657,1.06995,0.02592087312414734,0.1077762619372442,0.004092769440654843,0.07503410641200546,4.0
107,3,0.014195699327652219,0.9968790782405603,1.1607133,0.03274215552523874,0.12278308321964529,0.005457025920873124,0.08321964529331514,4.0
108,4,0.014122699619255542,0.9632738028838893,1.1759243,0.03547066848567531,0.12687585266030013,0.004092769440654843,0.08594815825375171,4.0
109,1,0.014170129892640939,0.9410897846744336,1.066319,0.034106412005457026,0.12141882673942701,0.004092769440654843,0.08321964529331514,4.0
11,3,0.014160777633227302,0.9795340356466854,1.0173669,0.02455661664392906,0.12824010914051842,0.004092769440654843,0.08321964529331514,3.0
110,2,0.01445641831202462,0.9939383037576344,1.3490226,0.010914051841746248,0.08049113233287858,0.002728512960436562,0.047748976807639835,4.0
111,3,0.01420074191242488,1.0065793257436189,2.4622872,0.03274215552523874,0.12551159618008187,0.004092769440654843,0.08594815825375171,4.0
112,4,0.014110912995371937,0.9735299321668767,2.1012073,0.03547066848567531,0.13096862210095497,0.004092769440654843,0.08867667121418826,4.0
113,1,0.01421267680498064,0.9175813147440669,1.0010092,0.034106412005457026,0.11732605729877217,0.002728512960436562,0.07639836289222374,4.0
114,2,0.014376601669322591,1.0507029354652915,1.5650469,0.009549795361527967,0.08731241473396999,0.002728512960436562,0.05184174624829468,4.0
115,3,0.014118118248246297,0.922298502505951,1.2819638,0.03547066848567531,0.13233287858117326,0.004092769440654843,0.09004092769440655,4.0
116,4,0.01422811020750117,1.047799931884642,1.5862694,0.03819918144611187,0.1364256480218281,0.0068212824010914054,0.09549795361527967,4.0
117,1,0.014155103931476485,0.9569456223381123,1.2683711,0.021828103683492497,0.10368349249658936,0.002728512960436562,0.0723055934515689,4.0
118,2,0.014662038230228078,0.9386565404680951,2.9750059,0.009549795361527967,0.06821282401091405,0.001364256480218281,0.03956343792633015,4.0
119,3,0.014195950746282058,0.9919397015438972,2.6390045,0.03274215552523874,0.12414733969986358,0.004092769440654843,0.08731241473396999,4.0
12,4,0.014108545807297626,0.9535717309775239,1.7550323,0.021828103683492497,0.12687585266030013,0.001364256480218281,0.08321964529331514,3.0
120,4,0.01412389574032427,0.9727019345337959,1.30443,0.036834924965893585,0.1296043656207367,0.004092769440654843,0.08867667121418826,4.0
121,1,0.014135890291668415,0.9860514399030156,1.6780065,0.03547066848567531,0.12551159618008187,0.004092769440654843,0.08185538881309687,4.0
122,2,0.014293921771485923,0.9374701296151567,2.6324327,0.021828103683492497,0.10641200545702592,0.004092769440654843,0.07366984993178717,4.0
123,3,0.014194164624353654,1.003559519707486,1.00301,0.034106412005457026,0.12414733969986358,0.002728512960436562,0.08458390177353342,4.0
124,4,0.014129483012174624,0.99620432111035,1.0521077,0.03547066848567531,0.12687585266030013,0.004092769440654843,0.08731241473396999,4.0
125,1,0.01418350895219739,0.9606086260248293,1.1258677,0.03547066848567531,0.12141882673942701,0.004092769440654843,0.08321964529331514,4.0
