config,network,rmse,mape,rhat_sigma,VaR_1_0,VaR_10_0,VaR_0_1,VaR_5_0,nu
1,1,0.011101644641339826,1.730765793982356,2.6138666,0.002728512960436562,0.02592087312414734,0.0,0.0068212824010914054,3.0
10,2,0.011092560281126235,3.7441875858577562,2.7801325,0.0068212824010914054,0.05320600272851296,0.002728512960436562,0.030013642564802184,5.0
11,3,0.011276079172308126,3.7614662087140585,2.258756,0.02592087312414734,0.1009549795361528,0.0068212824010914054,0.06684856753069578,5.0
12,4,0.011242992345343143,3.6360761249614506,1.8205092,0.023192360163710776,0.0941336971350614,0.005457025920873124,0.06002728512960437,5.0
13,1,0.011118165302614082,1.1880734376295832,2.577606,0.002728512960436562,0.027285129604365622,0.001364256480218281,0.009549795361527967,6.0
14,2,0.011037958490117258,2.9750175576295814,2.6913273,0.010914051841746248,0.06821282401091405,0.004092769440654843,0.03819918144611187,6.0
15,3,0.011259984531172615,3.7755346675746284,2.3901448,0.02592087312414734,0.1009549795361528,0.0068212824010914054,0.06684856753069578,6.0
16,4,0.011258726508717676,3.732993303773293,1.9325008,0.02455661664392906,0.09549795361527967,0.005457025920873124,0.06002728512960437,6.0
17,1,0.011100432321540404,1.505870362286515,2.307746,0.002728512960436562,0.02592087312414734,0.001364256480218281,0.009549795361527967,7.0
18,2,0.011105057497775597,2.995214068097308,1.5979341,0.010914051841746248,0.061391541609822645,0.004092769440654843,0.036834924965893585,7.0
19,3,0.011263955994489505,3.9624581889514894,2.2564557,0.02592087312414734,0.09549795361527967,0.0068212824010914054,0.06684856753069578,7.0
2,2,0.011170302130573146,1.6272750106688114,1.2122856,0.005457025920873124,0.06821282401091405,0.001364256480218281,0.0286493860845839,3.0
20,4,0.011267617178514659,3.5952242299667136,1.5848855,0.02455661664392906,0.09140518417462483,0.0068212824010914054,0.061391541609822645,7.0
21,1,0.011099711227848868,1.5460919573088137,2.4457798,0.002728512960436562,0.0286493860845839,0.002728512960436562,0.01227830832196453,8.0
22,2,0.011072823345499859,3.212647223455154,2.8410215,0.010914051841746248,0.0572987721691678,0.004092769440654843,0.034106412005457026,8.0
23,3,0.011266861115248833,3.8896209090503295,2.263296,0.027285129604365622,0.0927694406548431,0.0068212824010914054,0.06684856753069578,8.0
24,4,0.011273285435580718,3.5151994078517674,1.7306994,0.027285129604365622,0.09140518417462483,0.0068212824010914054,0.058663028649386086,8.0
25,1,0.01111144639490065,1.3214888631117536,2.4874802,0.002728512960436562,0.02592087312414734,0.001364256480218281,0.010914051841746248,9.0
26,2,0.011107977652241202,2.8613517415024337,2.1523256,0.013642564802182811,0.061391541609822645,0.004092769440654843,0.036834924965893585,9.0
27,3,0.011261645245161128,4.057497833570834,2.4251578,0.02592087312414734,0.0927694406548431,0.010914051841746248,0.06412005457025921,9.0
28,4,0.01125716489268045,3.4038997362017547,1.650115,0.027285129604365622,0.09004092769440655,0.008185538881309686,0.06275579809004093,9.0
29,1,0.011108582587323888,1.153434582695284,2.1955445,0.002728512960436562,0.0286493860845839,0.002728512960436562,0.01227830832196453,10.0
3,3,0.011289765341820697,3.815208032727226,2.8071437,0.017735334242837655,0.10914051841746249,0.002728512960436562,0.06275579809004093,3.0
30,2,0.011133804477441826,4.027971914586568,2.744875,0.01227830832196453,0.061391541609822645,0.005457025920873124,0.03547066848567531,10.0
31,3,0.011265722465141043,4.024229996613321,2.630451,0.027285129604365622,0.09140518417462483,0.009549795361527967,0.06548431105047749,10.0
32,4,0.011259728376108034,3.7178921414437167,1.7747283,0.027285129604365622,0.08731241473396999,0.008185538881309686,0.06002728512960437,10.0
33,1,0.011105760579772545,1.0925985473969573,2.4232674,0.004092769440654843,0.030013642564802184,0.002728512960436562,0.015006821282401092,20.0
34,2,0.011204025625360565,4.514019383229989,2.9112515,0.017735334242837655,0.0572987721691678,0.0068212824010914054,0.03547066848567531,20.0
35,3,0.011253284706997504,4.119888170025579,2.1966207,0.030013642564802184,0.08321964529331514,0.01637107776261937,0.058663028649386086,20.0
36,4,0.011277008918315934,3.955855281514395,1.6296769,0.030013642564802184,0.08458390177353342,0.015006821282401092,0.0572987721691678,20.0
37,1,0.011103851235123086,1.2626230925179065,2.455181,0.004092769440654843,0.030013642564802184,0.002728512960436562,0.01637107776261937,30.0
38,2,0.011157929338812336,4.705300973820874,2.831736,0.015006821282401092,0.05184174624829468,0.005457025920873124,0.034106412005457026,30.0
39,3,0.011268886675912857,3.945012931490921,3.143042,0.0286493860845839,0.08049113233287858,0.01637107776261937,0.058663028649386086,30.0
4,4,0.011244895151766519,3.357106495073127,1.885962,0.015006821282401092,0.09822646657571624,0.002728512960436562,0.0572987721691678,3.0
40,4,0.011282581247344738,3.6872632015846967,1.7016798,0.027285129604365622,0.08049113233287858,0.015006821282401092,0.0572987721691678,30.0
5,1,0.011119297487069869,1.5390558103932566,2.4048417,0.002728512960436562,0.0286493860845839,0.0,0.010914051841746248,4.0
6,2,0.011115938127903645,1.5693264989235927,2.484902,0.0068212824010914054,0.06684856753069578,0.002728512960436562,0.03137789904502047,4.0
7,3,0.011262594917702234,3.7597284947217275,2.7845364,0.023192360163710776,0.10641200545702592,0.005457025920873124,0.06684856753069578,4.0
8,4,0.011215353191516262,3.397803055537971,1.3002489,0.020463847203274217,0.09549795361527967,0.004092769440654843,0.06275579809004093,4.0
9,1,0.011118105838254398,1.1656090103883758,2.6351027,0.002728512960436562,0.030013642564802184,0.001364256480218281,0.01637107776261937,5.0
