nu,min,max,mean
3,0.01110164464133982,0.01128976534182069,0.01120165181637504
4,0.01111593812790364,0.01126259491770223,0.011178295931047997
5,0.01109256028112623,0.01127607917230812,0.01118243440925797
6,0.01103795849011725,0.01125998453117261,0.011168708708155402
7,0.0111004323215404,0.01126761717851465,0.011184265748080034
8,0.01107282334549985,0.01127328543558071,0.011178170281044562
9,0.0111079776522412,0.01126164524516112,0.011184558546245855
10,0.01110858258732388,0.01126572246514104,0.011191959476503692
20,0.01110576057977254,0.01127700891831593,0.011210019957611632
30,0.01110385123512308,0.01128258124734473,0.011203312124298247
