nu,min,max,mean
3,0.01406610682570237,0.01453637516324589,0.014174261906180393
4,0.01403952759425665,0.01855103452342393,0.01426339284110151
5,0.0139581504854319,0.01439821873039591,0.014156609286645978
6,0.01405747862536644,0.01557988577568468,0.014238383366221536
7,0.01405786083072181,0.01428528667950147,0.014154549176824523
8,0.01405872543321197,0.01697949350334013,0.014227912721396308
9,0.01408162856097487,0.01986383705195669,0.014350577805846025
10,0.01406782940104377,0.01432383059455024,0.014163841309168304
20,0.01406858049549585,0.01452537455477669,0.014165538373187608
30,0.01408148670158646,0.01510610213166671,0.014179418261658241
