nu,rmse,VaR_1_0,VaR_10_0,VaR_0_1,VaR_5_0
3,0.011127397,0.006830601092896175,0.10382513661202186,0.0,0.06557377049180328
4,0.011118669,0.01639344262295082,0.1051912568306011,0.001366120218579235,0.06967213114754098
5,0.011115491,0.017759562841530054,0.10655737704918032,0.00273224043715847,0.06967213114754098
6,0.011115707,0.02459016393442623,0.10655737704918032,0.00273224043715847,0.07240437158469945
7,0.011114928,0.0273224043715847,0.10655737704918032,0.00273224043715847,0.07240437158469945
8,0.011116954,0.030054644808743168,0.10655737704918032,0.00546448087431694,0.07240437158469945
9,0.011119895,0.031420765027322405,0.10655737704918032,0.006830601092896175,0.07377049180327869
10,0.011118464,0.030054644808743168,0.1051912568306011,0.006830601092896175,0.07240437158469945
20,0.011118296,0.03278688524590164,0.1051912568306011,0.006830601092896175,0.07377049180327869
30,0.011116239,0.03278688524590164,0.10382513661202186,0.01092896174863388,0.07377049180327869
