nu,rmse,VaR_1_0,VaR_10_0,VaR_0_1,VaR_5_0
3,0.014228727,0.009562841530054645,0.11202185792349727,0.0,0.06147540983606557
4,0.014212579,0.01912568306010929,0.11202185792349727,0.0,0.06420765027322405
5,0.014214082,0.01912568306010929,0.11202185792349727,0.001366120218579235,0.06693989071038252
6,0.014216337,0.023224043715846996,0.11202185792349727,0.004098360655737705,0.06830601092896176
7,0.014215887,0.02459016393442623,0.1092896174863388,0.004098360655737705,0.06830601092896176
8,0.0142285945,0.025956284153005466,0.1092896174863388,0.00546448087431694,0.06830601092896176
9,0.014212284,0.025956284153005466,0.1092896174863388,0.00546448087431694,0.06830601092896176
10,0.014202767,0.0273224043715847,0.1092896174863388,0.006830601092896175,0.06830601092896176
20,0.014224296,0.03278688524590164,0.10655737704918032,0.009562841530054645,0.06557377049180328
30,0.0142005095,0.031420765027322405,0.10655737704918032,0.01092896174863388,0.06420765027322405
