config,network,rmse,mape,rhat_sigma,VaR_1_0,VaR_10_0,VaR_0_1,VaR_5_0
1,1,0.014128139,0.9218209,1.0127152,0.036834924965893585,0.09004092769440655,0.013642564802182811,0.061391541609822645
10,10,0.014090517,0.9199135,1.0373453,0.03547066848567531,0.08867667121418826,0.01227830832196453,0.061391541609822645
100,4,0.015446782,0.6558434,1.2513596,0.036834924965893585,0.08731241473396999,0.01227830832196453,0.061391541609822645
101,5,0.014202446,0.9875434,1.1725883,0.03547066848567531,0.0927694406548431,0.013642564802182811,0.058663028649386086
102,6,0.014325022,0.9251569,1.7308725,0.034106412005457026,0.09004092769440655,0.013642564802182811,0.06002728512960437
103,7,0.014193158,1.0096787,1.1139443,0.03547066848567531,0.09140518417462483,0.01227830832196453,0.058663028649386086
104,8,0.0150660295,0.9083025,1.0518535,0.03956343792633015,0.0927694406548431,0.01637107776261937,0.06684856753069578
105,9,0.014198772,1.0012097,1.0044129,0.03547066848567531,0.09140518417462483,0.01227830832196453,0.06002728512960437
106,10,0.014100604,0.9218657,1.0134342,0.03547066848567531,0.08867667121418826,0.01227830832196453,0.06002728512960437
107,11,0.014204626,1.0107739,1.4297377,0.03547066848567531,0.09140518417462483,0.013642564802182811,0.058663028649386086
108,12,0.014103629,0.89718485,1.6575183,0.034106412005457026,0.08731241473396999,0.01227830832196453,0.06002728512960437
109,13,0.014210024,1.0045817,1.0005584,0.03274215552523874,0.09140518417462483,0.01227830832196453,0.058663028649386086
11,11,0.014137649,0.92465794,1.039806,0.03547066848567531,0.08867667121418826,0.013642564802182811,0.061391541609822645
110,14,0.0141067635,0.97757506,1.2069609,0.036834924965893585,0.09004092769440655,0.01227830832196453,0.061391541609822645
111,15,0.014203267,0.9961552,1.0004764,0.034106412005457026,0.09140518417462483,0.013642564802182811,0.058663028649386086
112,16,0.014118923,0.932351,1.0380374,0.03547066848567531,0.08731241473396999,0.01227830832196453,0.058663028649386086
113,1,0.0141716665,0.93236357,1.26211,0.036834924965893585,0.08867667121418826,0.01227830832196453,0.058663028649386086
114,2,0.014601566,0.87647426,1.0495831,0.03547066848567531,0.08731241473396999,0.015006821282401092,0.06275579809004093
115,3,0.014313966,0.9237222,1.9262428,0.036834924965893585,0.08867667121418826,0.01227830832196453,0.06412005457025921
116,4,0.014640198,0.95489645,1.6082442,0.034106412005457026,0.08458390177353342,0.010914051841746248,0.058663028649386086
117,5,0.0142059745,0.9932808,1.0000705,0.034106412005457026,0.09004092769440655,0.01227830832196453,0.058663028649386086
118,6,0.0143016605,0.9126908,1.6413736,0.034106412005457026,0.08867667121418826,0.010914051841746248,0.058663028649386086
119,7,0.014201556,0.9955052,2.2925563,0.036834924965893585,0.09004092769440655,0.013642564802182811,0.058663028649386086
12,12,0.014118033,0.91480285,1.0277537,0.03547066848567531,0.08867667121418826,0.01227830832196453,0.06002728512960437
120,8,0.015090294,0.91407,1.0962348,0.03547066848567531,0.0927694406548431,0.017735334242837655,0.06412005457025921
121,9,0.01419729,0.9921865,1.2861283,0.03547066848567531,0.09140518417462483,0.01227830832196453,0.058663028649386086
122,10,0.014113034,0.923854,1.0049614,0.03547066848567531,0.08731241473396999,0.01227830832196453,0.06002728512960437
123,11,0.014193342,0.9848755,1.5421385,0.036834924965893585,0.09140518417462483,0.01227830832196453,0.06002728512960437
124,12,0.014115238,0.9024442,1.7509015,0.03547066848567531,0.08731241473396999,0.01227830832196453,0.058663028649386086
125,13,0.014205631,1.0036935,1.1716768,0.03547066848567531,0.09140518417462483,0.013642564802182811,0.058663028649386086
126,14,0.014110533,0.96649003,1.3402822,0.036834924965893585,0.09004092769440655,0.01227830832196453,0.061391541609822645
127,15,0.014203534,0.9955316,1.0000961,0.036834924965893585,0.09140518417462483,0.013642564802182811,0.06002728512960437
128,16,0.014112755,0.9283533,1.1371979,0.03547066848567531,0.08731241473396999,0.01227830832196453,0.06002728512960437
129,1,0.014177968,0.9029381,1.069675,0.03547066848567531,0.08867667121418826,0.013642564802182811,0.06002728512960437
13,13,0.0142044965,1.0049905,1.0018007,0.03547066848567531,0.09140518417462483,0.013642564802182811,0.058663028649386086
130,2,0.014504073,0.9347115,1.3033105,0.036834924965893585,0.08867667121418826,0.013642564802182811,0.06275579809004093
131,3,0.014381787,0.91403145,1.0387731,0.03547066848567531,0.08731241473396999,0.015006821282401092,0.06548431105047749
132,4,0.015089489,0.60435873,2.5011756,0.03547066848567531,0.08867667121418826,0.01227830832196453,0.06412005457025921
133,5,0.0141985575,1.0000479,1.0176076,0.03547066848567531,0.09140518417462483,0.013642564802182811,0.058663028649386086
134,6,0.014350369,0.87795556,1.0479158,0.03547066848567531,0.09004092769440655,0.013642564802182811,0.06548431105047749
135,7,0.014089394,0.9609849,1.0114865,0.036834924965893585,0.09004092769440655,0.01227830832196453,0.058663028649386086
136,8,0.015010352,0.86754024,1.0099758,0.036834924965893585,0.0927694406548431,0.013642564802182811,0.06684856753069578
137,9,0.014128872,0.9483018,1.0421401,0.036834924965893585,0.08867667121418826,0.013642564802182811,0.058663028649386086
138,10,0.0141090825,0.91804993,1.0003947,0.03547066848567531,0.08731241473396999,0.01227830832196453,0.058663028649386086
139,11,0.014119123,0.935193,1.0276235,0.036834924965893585,0.08867667121418826,0.01227830832196453,0.058663028649386086
14,14,0.014091011,0.9672028,1.0004748,0.036834924965893585,0.09004092769440655,0.01227830832196453,0.06002728512960437
140,12,0.01410704,0.89438385,1.032629,0.034106412005457026,0.08731241473396999,0.010914051841746248,0.061391541609822645
141,13,0.01420239,1.018944,1.119521,0.03547066848567531,0.09004092769440655,0.013642564802182811,0.058663028649386086
142,14,0.014098029,0.9738765,1.0192128,0.036834924965893585,0.09004092769440655,0.01227830832196453,0.06002728512960437
143,15,0.014205045,0.9979053,1.0020199,0.034106412005457026,0.09140518417462483,0.013642564802182811,0.058663028649386086
144,16,0.014147805,0.94533324,1.0135852,0.036834924965893585,0.08867667121418826,0.013642564802182811,0.06002728512960437
145,1,0.014178398,0.9190104,1.0021689,0.03547066848567531,0.08867667121418826,0.01227830832196453,0.058663028649386086
146,2,0.014566322,0.8875189,1.0891417,0.036834924965893585,0.08731241473396999,0.013642564802182811,0.061391541609822645
147,3,0.014421844,0.9007572,2.1260414,0.03547066848567531,0.08867667121418826,0.015006821282401092,0.06684856753069578
148,4,0.015836092,0.7381749,1.0217115,0.036834924965893585,0.08867667121418826,0.013642564802182811,0.06412005457025921
149,5,0.014206061,1.003017,1.0709167,0.034106412005457026,0.09140518417462483,0.013642564802182811,0.058663028649386086
15,15,0.014206975,1.0053941,1.0478942,0.034106412005457026,0.09140518417462483,0.01227830832196453,0.058663028649386086
150,6,0.014312111,0.894908,1.007886,0.03547066848567531,0.08867667121418826,0.010914051841746248,0.06412005457025921
151,7,0.0141000245,0.9693024,1.1104476,0.036834924965893585,0.09004092769440655,0.01227830832196453,0.061391541609822645
152,8,0.014876519,0.8929244,1.1334655,0.03547066848567531,0.09140518417462483,0.01637107776261937,0.06412005457025921
153,9,0.014191837,0.9842603,1.0779744,0.036834924965893585,0.09004092769440655,0.013642564802182811,0.058663028649386086
154,10,0.014104891,0.9403378,1.0229174,0.03547066848567531,0.08731241473396999,0.01227830832196453,0.06002728512960437
155,11,0.014135952,0.95473397,1.004754,0.036834924965893585,0.08867667121418826,0.013642564802182811,0.06002728512960437
