config,network,rmse,mape,rhat_sigma,VaR_1_0,VaR_10_0,VaR_0_1,VaR_5_0
1,1,0.011106549,1.0515848,2.6264317,0.02455661664392906,0.07094133697135062,0.0068212824010914054,0.040927694406548434
10,2,0.011149365,5.0451703,1.5682023,0.02455661664392906,0.0723055934515689,0.010914051841746248,0.0504774897680764
11,3,0.01129459,4.0036893,1.0117146,0.027285129604365622,0.07503410641200546,0.01637107776261937,0.054570259208731244
12,4,0.011321887,3.57627,1.0813242,0.02592087312414734,0.0723055934515689,0.017735334242837655,0.05593451568894952
13,1,0.011118829,1.1280323,2.9316463,0.008185538881309686,0.03819918144611187,0.002728512960436562,0.027285129604365622
14,2,0.011191526,4.903048,2.1619854,0.020463847203274217,0.06412005457025921,0.008185538881309686,0.04638472032742155
15,3,0.011262163,4.5975842,1.0795915,0.02592087312414734,0.07503410641200546,0.01637107776261937,0.05320600272851296
16,4,0.011354691,4.4433103,2.0522144,0.02455661664392906,0.07503410641200546,0.017735334242837655,0.054570259208731244
17,1,0.011156846,0.77599263,2.640878,0.004092769440654843,0.0286493860845839,0.002728512960436562,0.015006821282401092
18,2,0.011312812,5.2655296,2.4216418,0.019099590723055934,0.054570259208731244,0.0068212824010914054,0.03819918144611187
19,3,0.011181749,4.0134397,1.2841867,0.017735334242837655,0.06002728512960437,0.0068212824010914054,0.03956343792633015
2,2,0.01117231,4.4988694,1.0952944,0.021828103683492497,0.06957708049113233,0.013642564802182811,0.04911323328785812
20,4,0.011220924,3.1241374,1.732233,0.02592087312414734,0.06684856753069578,0.010914051841746248,0.04638472032742155
21,1,0.011117288,1.5182859,2.301852,0.002728512960436562,0.019099590723055934,0.002728512960436562,0.008185538881309686
22,2,0.011077957,3.936134,2.158832,0.01637107776261937,0.05184174624829468,0.0068212824010914054,0.034106412005457026
23,3,0.0111545175,4.0937715,1.5964085,0.017735334242837655,0.0572987721691678,0.0068212824010914054,0.03547066848567531
24,4,0.011332742,3.3090627,2.055332,0.0286493860845839,0.0723055934515689,0.015006821282401092,0.054570259208731244
